epoch,accuracy,loss,val_accuracy,val_loss
0,0.7170000076293945,0.9392021298408508,0.8725000023841858,0.3040483891963959
1,0.8149999976158142,0.4555036425590515,0.8525000214576721,0.3891168236732483
2,0.8489999771118164,0.3569340705871582,0.8862500190734863,0.2861030399799347
3,0.8799999952316284,0.3110760450363159,0.9075000286102295,0.270985871553421
4,0.9070000052452087,0.25800418853759766,0.8700000047683716,0.3710319399833679
5,0.9290000200271606,0.20587310194969177,0.8062499761581421,0.9308905005455017
6,0.9240000247955322,0.2187947779893875,0.9024999737739563,0.3626802861690521
7,0.9480000138282776,0.12841126322746277,0.8999999761581421,0.3869335651397705
8,0.9449999928474426,0.14042671024799347,0.9012500047683716,0.36975204944610596
9,0.9559999704360962,0.1190907284617424,0.8912500143051147,0.40191373229026794
